kategoriya,seriya,nomenklatura,tip,kod,obem_l,cena_eur_fca
Вина,Seashell,Шардоне (этикетка Seashell),белое сухое,3201149,0.75,2.60
Вина,Seashell,Мускат Оттонель (этикетка Seashell),белое сухое,3201150,0.75,2.60
Вина,Seashell,Розе (этикетка Seashell),розовое сухое,3203015,0.75,2.60
Вина,Seashell,Мерло (этикетка Seashell),красное сухое,3202049,0.75,2.60
Вина,Seashell,Каберне Совиньон (этикетка Seashell),красное сухое,3202050,0.75,2.60
Вина,Pentagram,Розе Сира,розовое сухое,3203014,0.75,3.75
Вина,Pentagram,Пино Гри,белое сухое,3201013,0.75,3.75
Вина,Pentagram,Траминер,белое сухое,3201145/3201014,0.75,3.75
Вина,Pentagram,Вионье,белое сухое,3201113,0.75,3.75
Вина,Pentagram,Шардоне,белое сухое,3201116/3201144,0.75,3.75
Вина,Pentagram,Совиньон Блан,белое сухое,3201119,0.75,3.75
Вина,Pentagram,Пино Нуар,красное сухое,3202188,0.75,3.75
Вина,Pentagram,Мерло,красное сухое,3202022,0.75,3.75
Вина,Pentagram,Каберне Совиньон,красное сухое,3202013,0.75,3.75
Вина,Pentagram,Сира,красное сухое,3202191,0.75,3.75
Вина,Find Me,Find Me Шардоне,белое сухое,3201164/3201168,0.75,5.75
Вина,Find Me,Find Me Совиньон Блан,белое сухое,3201161,0.75,5.75
Вина,Find Me,Find Me Совиньон Блан & Пино Гри,белое сухое,3201162,0.75,5.75
Вина,Find Me,Find Me Розе,розовое сухое,3203020,0.75,5.75
Вина,Find Me,Find Me Сира & Мерло,красное сухое,3202216,0.75,5.75
Вина,Find Me,Find Me Каберне Фран,красное сухое,3202215,0.75,5.75
Вина,Salty Hills,Salty Hills Шардоне & Вионье & Совиньон Блан,белое сухое,3201050,0.75,7.15
Вина,Salty Hills,Розе Salty Hills Каберне Совиньон & Сира & Каберне Фран,розовое сухое,3203013,0.75,7.15
Вина,Salty Hills,Salty Hills Каберне Совиньон & Мерло & Каберне Фран & Сира,красное сухое,3202190,0.75,7.15
Вина,Special Collection,Каберне Совиньон (Stamp — Special Collection),красное сухое,3202062,0.75,5.80
Вина,Special Collection,Мерло (Stamp — Special Collection),красное сухое,3202152/3202153,0.75,5.80
Вина,Special Reserve,Каберне Совиньон 'Brandy Cask' Special Reserve,красное сухое,3202169/3202047,0.75,9.35
Вина,Special Reserve,Каберне Совиньон 'Arte Ante' Special Reserve,красное сухое,3202143/3202048,0.75,9.90
Специальные вина,Специальные,Blgovest,специальное 16/160,3202209,0.5,2.85
Специальные вина,Специальные,Миндальный аперитив,ликёр на основе вина,3204004,0.5,3.40
Бренди,Black Sea Gold,Black Sea Gold 5 лет,40% об.,3600050,0.5,4.00
Бренди,Black Sea Gold,Black Sea Gold 5 лет,40% об.,3600046,0.7,4.55
Бренди,Black Sea Gold,Black Sea Gold V.S.O.P.,40% об.,3600038,0.7,7.15
Бренди,Black Sea Gold,Black Sea Gold XO 17 лет,40% об.,3600037,0.7,12.60
Бренди,Black Sea Gold,Black Sea Gold XO 25 лет,40% об.,3600026,0.7,29.70
Бренди,Black Sea Gold,Black Sea Gold XO 33 года,42% об.,3600041,0.2,13.20
Бренди,Black Sea Gold,Black Sea Gold XO 33 года,42% об.,3600040,0.7,44.00
Ракия,Pomorie,Ракия Pomorie Classic,40% об.,3400007,0.7,3.80
Ракия,Pomorie,Ракия Pomorie Special,40% об.,3400006,0.7,4.10
Ракия,Pomorie,Ракия Pomorie Мускат,40% об.,3400005,0.7,5.00
Ракия,Burgas,Ракия Burgas Classic,40% об.,3400041,0.7,3.80
Ракия,Burgas,Ракия Burgas Мускат,40% об.,3400029,0.7,5.00
Ракия,Burgas,Ракия Burgas Мускат 7 лет,40% об.,3400053,0.7,7.15
Ракия,Burgas,Ракия Burgas 63,40% об.,3400028,0.5,6.25
Ракия,Burgas,Ракия Burgas 63 Barrel,40% об.,3400017,0.5,7.80
Ракия,Burgas,Ракия Burgas 63 Pearl,40% об.,3400016,0.5,9.20
Ракия,Burgas,Ракия Burgas 63 Траминер,40% об.,3400038,0.5,9.20
Ракия,Burgas,Ракия Burgas 63 12 лет,40% об.,3400044,0.5,19.75
Ракия,Burgas,Ракия 'Alambic',40% об.,3400034,0.7,19.75
